GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD38,"Estimate; $50,000 to $74,999:"
HD02_VD38,"Margin of Error; $50,000 to $74,999:"
HD01_VD39,"Estimate; $50,000 to $74,999: - Less than 20.0 percent"
HD02_VD39,"Margin of Error; $50,000 to $74,999: - Less than 20.0 percent"
HD01_VD40,"Estimate; $50,000 to $74,999: - 20.0 to 24.9 percent"
HD02_VD40,"Margin of Error; $50,000 to $74,999: - 20.0 to 24.9 percent"
HD01_VD41,"Estimate; $50,000 to $74,999: - 25.0 to 29.9 percent"
HD02_VD41,"Margin of Error; $50,000 to $74,999: - 25.0 to 29.9 percent"
HD01_VD42,"Estimate; $50,000 to $74,999: - 30.0 to 34.9 percent"
HD02_VD42,"Margin of Error; $50,000 to $74,999: - 30.0 to 34.9 percent"
HD01_VD43,"Estimate; $50,000 to $74,999: - 35.0 to 39.9 percent"
HD02_VD43,"Margin of Error; $50,000 to $74,999: - 35.0 to 39.9 percent"
HD01_VD44,"Estimate; $50,000 to $74,999: - 40.0 to 49.9 percent"
HD02_VD44,"Margin of Error; $50,000 to $74,999: - 40.0 to 49.9 percent"
HD01_VD45,"Estimate; $50,000 to $74,999: - 50.0 percent or more"
HD02_VD45,"Margin of Error; $50,000 to $74,999: - 50.0 percent or more"
HD01_VD46,"Estimate; $50,000 to $74,999: - Not computed"
HD02_VD46,"Margin of Error; $50,000 to $74,999: - Not computed"
HD01_VD47,"Estimate; $75,000 to $99,999:"
HD02_VD47,"Margin of Error; $75,000 to $99,999:"
HD01_VD48,"Estimate; $75,000 to $99,999: - Less than 20.0 percent"
HD02_VD48,"Margin of Error; $75,000 to $99,999: - Less than 20.0 percent"
HD01_VD49,"Estimate; $75,000 to $99,999: - 20.0 to 24.9 percent"
HD02_VD49,"Margin of Error; $75,000 to $99,999: - 20.0 to 24.9 percent"
HD01_VD50,"Estimate; $75,000 to $99,999: - 25.0 to 29.9 percent"
HD02_VD50,"Margin of Error; $75,000 to $99,999: - 25.0 to 29.9 percent"
HD01_VD51,"Estimate; $75,000 to $99,999: - 30.0 to 34.9 percent"
HD02_VD51,"Margin of Error; $75,000 to $99,999: - 30.0 to 34.9 percent"
HD01_VD52,"Estimate; $75,000 to $99,999: - 35.0 to 39.9 percent"
HD02_VD52,"Margin of Error; $75,000 to $99,999: - 35.0 to 39.9 percent"
HD01_VD53,"Estimate; $75,000 to $99,999: - 40.0 to 49.9 percent"
HD02_VD53,"Margin of Error; $75,000 to $99,999: - 40.0 to 49.9 percent"
HD01_VD54,"Estimate; $75,000 to $99,999: - 50.0 percent or more"
HD02_VD54,"Margin of Error; $75,000 to $99,999: - 50.0 percent or more"
HD01_VD55,"Estimate; $75,000 to $99,999: - Not computed"
HD02_VD55,"Margin of Error; $75,000 to $99,999: - Not computed"
HD01_VD56,"Estimate; $100,000 or more:"
HD02_VD56,"Margin of Error; $100,000 or more:"
HD01_VD57,"Estimate; $100,000 or more: - Less than 20.0 percent"
HD02_VD57,"Margin of Error; $100,000 or more: - Less than 20.0 percent"
HD01_VD58,"Estimate; $100,000 or more: - 20.0 to 24.9 percent"
HD02_VD58,"Margin of Error; $100,000 or more: - 20.0 to 24.9 percent"
HD01_VD59,"Estimate; $100,000 or more: - 25.0 to 29.9 percent"
HD02_VD59,"Margin of Error; $100,000 or more: - 25.0 to 29.9 percent"
HD01_VD60,"Estimate; $100,000 or more: - 30.0 to 34.9 percent"
HD02_VD60,"Margin of Error; $100,000 or more: - 30.0 to 34.9 percent"
HD01_VD61,"Estimate; $100,000 or more: - 35.0 to 39.9 percent"
HD02_VD61,"Margin of Error; $100,000 or more: - 35.0 to 39.9 percent"
HD01_VD62,"Estimate; $100,000 or more: - 40.0 to 49.9 percent"
HD02_VD62,"Margin of Error; $100,000 or more: - 40.0 to 49.9 percent"
HD01_VD63,"Estimate; $100,000 or more: - 50.0 percent or more"
HD02_VD63,"Margin of Error; $100,000 or more: - 50.0 percent or more"
HD01_VD64,"Estimate; $100,000 or more: - Not computed"
HD02_VD64,"Margin of Error; $100,000 or more: - Not computed"
