"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Lafayette Parish, LA"	"22055"	Suppressed	949072	Suppressed
	"Lafourche Parish, LA"	"22057"	Suppressed	391912	Suppressed
	"LaSalle Parish, LA"	"22059"	Suppressed	59523	Suppressed
	"Lincoln Parish, LA"	"22061"	Suppressed	190549	Suppressed
	"Livingston Parish, LA"	"22063"	10	545820	Unreliable
	"Madison Parish, LA"	"22065"	Suppressed	46600	Suppressed
	"Morehouse Parish, LA"	"22067"	Suppressed	105853	Suppressed
	"Natchitoches Parish, LA"	"22069"	Suppressed	156504	Suppressed
	"Orleans Parish, LA"	"22071"	18	1545944	Unreliable
	"Ouachita Parish, LA"	"22073"	Suppressed	625180	Suppressed
	"Plaquemines Parish, LA"	"22075"	Suppressed	93840	Suppressed
	"Pointe Coupee Parish, LA"	"22077"	Suppressed	89424	Suppressed
	"Rapides Parish, LA"	"22079"	Suppressed	529000	Suppressed
	"Red River Parish, LA"	"22081"	Suppressed	34692	Suppressed
	"Richland Parish, LA"	"22083"	Suppressed	82531	Suppressed
	"Sabine Parish, LA"	"22085"	Suppressed	96638	Suppressed
	"St. Bernard Parish, LA"	"22087"	Suppressed	179501	Suppressed
	"St. Charles Parish, LA"	"22089"	Suppressed	210923	Suppressed
	"St. Helena Parish, LA"	"22091"	Suppressed	42424	Suppressed
	"St. James Parish, LA"	"22093"	Suppressed	86324	Suppressed
	"St. John the Baptist Parish, LA"	"22095"	Suppressed	174573	Suppressed
	"St. Landry Parish, LA"	"22097"	Suppressed	334508	Suppressed
	"St. Martin Parish, LA"	"22099"	Suppressed	214257	Suppressed
	"St. Mary Parish, LA"	"22101"	Suppressed	210488	Suppressed
	"St. Tammany Parish, LA"	"22103"	45	994577	4.5
	"Tangipahoa Parish, LA"	"22105"	Suppressed	513713	Suppressed
	"Tensas Parish, LA"	"22107"	Suppressed	19093	Suppressed
	"Terrebonne Parish, LA"	"22109"	Suppressed	452135	Suppressed
	"Union Parish, LA"	"22111"	Suppressed	89931	Suppressed
	"Vermilion Parish, LA"	"22113"	Suppressed	238880	Suppressed
	"Vernon Parish, LA"	"22115"	Suppressed	206267	Suppressed
	"Washington Parish, LA"	"22117"	10	185709	Unreliable
	"Webster Parish, LA"	"22119"	Suppressed	160410	Suppressed
	"West Baton Rouge Parish, LA"	"22121"	Suppressed	101413	Suppressed
	"West Carroll Parish, LA"	"22123"	Suppressed	45264	Suppressed
	"West Feliciana Parish, LA"	"22125"	Suppressed	61615	Suppressed
	"Winn Parish, LA"	"22127"	Suppressed	58435	Suppressed
	"Androscoggin County, ME"	"23001"	33	429928	7.7
	"Aroostook County, ME"	"23003"	10	275783	Unreliable
	"Cumberland County, ME"	"23005"	131	1155730	11.3
	"Franklin County, ME"	"23007"	Suppressed	120770	Suppressed
	"Hancock County, ME"	"23009"	Suppressed	218697	Suppressed
	"Kennebec County, ME"	"23011"	45	484077	9.3
	"Knox County, ME"	"23013"	14	158871	Unreliable
	"Lincoln County, ME"	"23015"	Suppressed	136431	Suppressed
	"Oxford County, ME"	"23017"	11	229156	Unreliable
	"Penobscot County, ME"	"23019"	48	611427	7.9
	"Piscataquis County, ME"	"23021"	Suppressed	67854	Suppressed
	"Sagadahoc County, ME"	"23023"	Suppressed	140599	Suppressed
	"Somerset County, ME"	"23025"	17	204608	Unreliable
	"Waldo County, ME"	"23027"	Suppressed	156978	Suppressed
	"Washington County, ME"	"23029"	19	127216	Unreliable
	"York County, ME"	"23031"	112	805501	13.9
	"Allegany County, MD"	"24001"	38	290616	13.1
	"Anne Arundel County, MD"	"24003"	259	2253306	11.5
	"Baltimore County, MD"	"24005"	438	3313536	13.2
	"Calvert County, MD"	"24009"	25	363194	6.9
