"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	221404	Suppressed
	"Baldwin County, AL"	"01003"	15	807923	Unreliable
	"Barbour County, AL"	"01005"	Suppressed	106417	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	90244	Suppressed
	"Blount County, AL"	"01009"	Suppressed	230968	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	42461	Suppressed
	"Butler County, AL"	"01013"	Suppressed	80713	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	462883	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	136204	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	103824	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	175766	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	52912	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	99219	Suppressed
	"Clay County, AL"	"01027"	Suppressed	54085	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	60016	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	204284	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	217633	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	50624	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	43089	Suppressed
	"Covington County, AL"	"01039"	Suppressed	151093	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	55839	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	326576	Suppressed
	"Dale County, AL"	"01045"	Suppressed	198159	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	164846	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	284108	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	325146	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	151233	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	413083	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	67088	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	126457	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	106830	Suppressed
	"Greene County, AL"	"01063"	Suppressed	34198	Suppressed
	"Hale County, AL"	"01065"	Suppressed	60610	Suppressed
	"Henry County, AL"	"01067"	Suppressed	68871	Suppressed
	"Houston County, AL"	"01069"	Suppressed	416090	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	210173	Suppressed
	"Jefferson County, AL"	"01073"	166	2640160	6.3
	"Lamar County, AL"	"01075"	Suppressed	56126	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	370807	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	133423	Suppressed
	"Lee County, AL"	"01081"	Suppressed	621172	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	364048	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	42099	Suppressed
	"Macon County, AL"	"01087"	Suppressed	77181	Suppressed
	"Madison County, AL"	"01089"	16	1407247	Unreliable
	"Marengo County, AL"	"01091"	Suppressed	79966	Suppressed
	"Marion County, AL"	"01093"	Suppressed	120771	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	379278	Suppressed
	"Mobile County, AL"	"01097"	Suppressed	1659433	Suppressed
	"Monroe County, AL"	"01099"	Suppressed	87386	Suppressed
	"Montgomery County, AL"	"01101"	Suppressed	905716	Suppressed
	"Morgan County, AL"	"01103"	Suppressed	477971	Suppressed
	"Perry County, AL"	"01105"	Suppressed	39072	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	80954	Suppressed
	"Pike County, AL"	"01109"	Suppressed	133060	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	90614	Suppressed
	"Russell County, AL"	"01113"	Suppressed	237025	Suppressed
	"St. Clair County, AL"	"01115"	Suppressed	348098	Suppressed
	"Shelby County, AL"	"01117"	22	830170	2.7
	"Sumter County, AL"	"01119"	Suppressed	52670	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	323383	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	163939	Suppressed
	"Tuscaloosa County, AL"	"01125"	Suppressed	813111	Suppressed
	"Walker County, AL"	"01127"	Suppressed	261730	Suppressed
	"Washington County, AL"	"01129"	Suppressed	67271	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	44450	Suppressed
	"Winston County, AL"	"01133"	Suppressed	95978	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	13089	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	22610	Suppressed
	"Anchorage Borough, AK"	"02020"	17	1198847	Unreliable
	"Bethel Census Area, AK"	"02050"	Suppressed	71540	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	3707	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	7660	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	19949	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	Suppressed	400029	Suppressed
	"Haines Borough, AK"	"02100"	Suppressed	10188	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Suppressed	6293	Suppressed
	"Juneau Borough, AK"	"02110"	Suppressed	130290	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	231189	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	54971	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	55742	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	6404	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	Suppressed	398534	Suppressed
	"Nome Census Area, AK"	"02180"	Suppressed	39472	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	38682	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	30827	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Suppressed	9486	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Suppressed	19084	Suppressed
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Suppressed	5786	Suppressed
	"Sitka Borough, AK"	"02220"	Suppressed	35613	Suppressed
	"Skagway Municipality, AK"	"02230"	Suppressed	3181	Suppressed
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Suppressed	3140	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	27631	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	37968	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	32155	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Suppressed	7157	Suppressed
	"Wrangell-Petersburg Census Area, AK"	"02280"	Suppressed	6174	Suppressed
	"Yakutat Borough, AK"	"02282"	Suppressed	2491	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	22301	Suppressed
	"Apache County, AZ"	"04001"	Suppressed	288348	Suppressed
	"Cochise County, AZ"	"04003"	10	509118	Unreliable
	"Coconino County, AZ"	"04005"	Suppressed	554226	Suppressed
	"Gila County, AZ"	"04007"	Suppressed	212887	Suppressed
	"Graham County, AZ"	"04009"	Suppressed	150704	Suppressed
	"Greenlee County, AZ"	"04011"	Suppressed	37537	Suppressed
	"La Paz County, AZ"	"04012"	Suppressed	81024	Suppressed
	"Maricopa County, AZ"	"04013"	180	16507547	1.1
	"Mohave County, AZ"	"04015"	11	816377	Unreliable
	"Navajo County, AZ"	"04017"	Suppressed	433726	Suppressed
	"Pima County, AZ"	"04019"	64	4027301	1.6
	"Pinal County, AZ"	"04021"	18	1616392	Unreliable
	"Santa Cruz County, AZ"	"04023"	Suppressed	185909	Suppressed
	"Yavapai County, AZ"	"04025"	12	881794	Unreliable
	"Yuma County, AZ"	"04027"	Suppressed	814354	Suppressed
	"Arkansas County, AR"	"05001"	Suppressed	74018	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	83561	Suppressed
	"Baxter County, AR"	"05005"	Suppressed	163929	Suppressed
	"Benton County, AR"	"05007"	18	987581	Unreliable
	"Boone County, AR"	"05009"	Suppressed	149118	Suppressed
	"Bradley County, AR"	"05011"	Suppressed	44487	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	20816	Suppressed
	"Carroll County, AR"	"05015"	Suppressed	110902	Suppressed
	"Chicot County, AR"	"05017"	Suppressed	44487	Suppressed
	"Clark County, AR"	"05019"	Suppressed	90609	Suppressed
	"Clay County, AR"	"05021"	Suppressed	60549	Suppressed
	"Cleburne County, AR"	"05023"	Suppressed	102051	Suppressed
	"Cleveland County, AR"	"05025"	Suppressed	33594	Suppressed
	"Columbia County, AR"	"05027"	Suppressed	96112	Suppressed
	"Conway County, AR"	"05029"	Suppressed	84284	Suppressed
	"Craighead County, AR"	"05031"	Suppressed	414195	Suppressed
	"Crawford County, AR"	"05033"	Suppressed	247307	Suppressed
	"Crittenden County, AR"	"05035"	Suppressed	197492	Suppressed
	"Cross County, AR"	"05037"	Suppressed	69096	Suppressed
	"Dallas County, AR"	"05039"	Suppressed	30761	Suppressed
	"Desha County, AR"	"05041"	Suppressed	48610	Suppressed
	"Drew County, AR"	"05043"	Suppressed	74836	Suppressed
	"Faulkner County, AR"	"05045"	Suppressed	484127	Suppressed
	"Franklin County, AR"	"05047"	Suppressed	71167	Suppressed
	"Fulton County, AR"	"05049"	Suppressed	48756	Suppressed
	"Garland County, AR"	"05051"	Suppressed	389149	Suppressed
	"Grant County, AR"	"05053"	Suppressed	72347	Suppressed
	"Greene County, AR"	"05055"	Suppressed	175585	Suppressed
	"Hempstead County, AR"	"05057"	Suppressed	88859	Suppressed
	"Hot Spring County, AR"	"05059"	Suppressed	133668	Suppressed
	"Howard County, AR"	"05061"	Suppressed	53758	Suppressed
	"Independence County, AR"	"05063"	Suppressed	148176	Suppressed
	"Izard County, AR"	"05065"	Suppressed	53732	Suppressed
	"Jackson County, AR"	"05067"	Suppressed	69708	Suppressed
	"Jefferson County, AR"	"05069"	Suppressed	287069	Suppressed
	"Johnson County, AR"	"05071"	Suppressed	104168	Suppressed
	"Lafayette County, AR"	"05073"	Suppressed	28206	Suppressed
	"Lawrence County, AR"	"05075"	Suppressed	67456	Suppressed
	"Lee County, AR"	"05077"	Suppressed	38835	Suppressed
	"Lincoln County, AR"	"05079"	Suppressed	55526	Suppressed
	"Little River County, AR"	"05081"	Suppressed	50185	Suppressed
	"Logan County, AR"	"05083"	Suppressed	87546	Suppressed
	"Lonoke County, AR"	"05085"	Suppressed	286183	Suppressed
	"Madison County, AR"	"05087"	Suppressed	63280	Suppressed
	"Marion County, AR"	"05089"	Suppressed	65307	Suppressed
	"Miller County, AR"	"05091"	Suppressed	174525	Suppressed
	"Mississippi County, AR"	"05093"	Suppressed	175573	Suppressed
	"Monroe County, AR"	"05095"	Suppressed	29832	Suppressed
	"Montgomery County, AR"	"05097"	Suppressed	36157	Suppressed
	"Nevada County, AR"	"05099"	Suppressed	34478	Suppressed
	"Newton County, AR"	"05101"	Suppressed	31817	Suppressed
	"Ouachita County, AR"	"05103"	Suppressed	98286	Suppressed
	"Perry County, AR"	"05105"	Suppressed	40911	Suppressed
	"Phillips County, AR"	"05107"	Suppressed	78817	Suppressed
	"Pike County, AR"	"05109"	Suppressed	43857	Suppressed
	"Poinsett County, AR"	"05111"	Suppressed	96454	Suppressed
	"Polk County, AR"	"05113"	Suppressed	81020	Suppressed
	"Pope County, AR"	"05115"	Suppressed	252917	Suppressed
	"Prairie County, AR"	"05117"	Suppressed	33220	Suppressed
	"Pulaski County, AR"	"05119"	21	1569900	1.3
	"Randolph County, AR"	"05121"	Suppressed	70180	Suppressed
	"St. Francis County, AR"	"05123"	Suppressed	106944	Suppressed
	"Saline County, AR"	"05125"	Suppressed	466286	Suppressed
	"Scott County, AR"	"05127"	Suppressed	42433	Suppressed
	"Searcy County, AR"	"05129"	Suppressed	31788	Suppressed
	"Sebastian County, AR"	"05131"	Suppressed	509691	Suppressed
	"Sevier County, AR"	"05133"	Suppressed	68992	Suppressed
	"Sharp County, AR"	"05135"	Suppressed	68024	Suppressed
	"Stone County, AR"	"05137"	Suppressed	50070	Suppressed
	"Union County, AR"	"05139"	Suppressed	160952	Suppressed
	"Van Buren County, AR"	"05141"	Suppressed	67182	Suppressed
	"Washington County, AR"	"05143"	11	890728	Unreliable
	"White County, AR"	"05145"	Suppressed	315499	Suppressed
	"Woodruff County, AR"	"05147"	Suppressed	27364	Suppressed
	"Yell County, AR"	"05149"	Suppressed	87109	Suppressed
	"Alameda County, CA"	"06001"	26	6475731	0.4
	"Alpine County, CA"	"06003"	Suppressed	4456	Suppressed
	"Amador County, CA"	"06005"	Suppressed	147645	Suppressed
	"Butte County, CA"	"06007"	Suppressed	898606	Suppressed
	"Calaveras County, CA"	"06009"	Suppressed	179138	Suppressed
	"Colusa County, CA"	"06011"	Suppressed	85847	Suppressed
	"Contra Costa County, CA"	"06013"	16	4467416	Unreliable
	"Del Norte County, CA"	"06015"	Suppressed	109879	Suppressed
	"El Dorado County, CA"	"06017"	Suppressed	734901	Suppressed
	"Fresno County, CA"	"06019"	20	3876022	0.5
	"Glenn County, CA"	"06021"	Suppressed	111997	Suppressed
	"Humboldt County, CA"	"06023"	10	541675	Unreliable
	"Imperial County, CA"	"06025"	Suppressed	716749	Suppressed
	"Inyo County, CA"	"06027"	Suppressed	73281	Suppressed
	"Kern County, CA"	"06029"	24	3505677	0.7
	"Kings County, CA"	"06031"	Suppressed	601979	Suppressed
	"Lake County, CA"	"06033"	Suppressed	256751	Suppressed
	"Lassen County, CA"	"06035"	Suppressed	126127	Suppressed
	"Los Angeles County, CA"	"06037"	137	40441980	0.3
	"Madera County, CA"	"06039"	Suppressed	616632	Suppressed
	"Marin County, CA"	"06041"	Suppressed	1040987	Suppressed
	"Mariposa County, CA"	"06043"	Suppressed	70378	Suppressed
	"Mendocino County, CA"	"06045"	10	350338	Unreliable
	"Merced County, CA"	"06047"	13	1066708	Unreliable
	"Modoc County, CA"	"06049"	Suppressed	35930	Suppressed
	"Mono County, CA"	"06051"	Suppressed	55961	Suppressed
	"Monterey County, CA"	"06053"	Suppressed	1729300	Suppressed
	"Napa County, CA"	"06055"	Suppressed	566615	Suppressed
	"Nevada County, CA"	"06057"	Suppressed	395077	Suppressed
	"Orange County, CA"	"06059"	147	12602186	1.2
	"Placer County, CA"	"06061"	Suppressed	1494925	Suppressed
	"Plumas County, CA"	"06063"	Suppressed	74501	Suppressed
	"Riverside County, CA"	"06065"	40	9370545	0.4
	"Sacramento County, CA"	"06067"	34	5959952	0.6
	"San Benito County, CA"	"06069"	Suppressed	234073	Suppressed
	"San Bernardino County, CA"	"06071"	26	8469219	0.3
	"San Diego County, CA"	"06073"	172	13091953	1.3
