"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Allendale County, SC"	"45005"	Suppressed	18047	Suppressed
	"Anderson County, SC"	"45007"	Suppressed	395328	Suppressed
	"Bamberg County, SC"	"45009"	Suppressed	28815	Suppressed
	"Barnwell County, SC"	"45011"	Suppressed	42828	Suppressed
	"Beaufort County, SC"	"45013"	24	369993	6.5
	"Berkeley County, SC"	"45015"	28	428835	6.5
	"Calhoun County, SC"	"45017"	Suppressed	29500	Suppressed
	"Charleston County, SC"	"45019"	58	797922	7.3
	"Cherokee County, SC"	"45021"	Suppressed	113751	Suppressed
	"Chester County, SC"	"45023"	Suppressed	64482	Suppressed
	"Chesterfield County, SC"	"45025"	Suppressed	91961	Suppressed
	"Clarendon County, SC"	"45027"	Suppressed	68008	Suppressed
	"Colleton County, SC"	"45029"	Suppressed	75534	Suppressed
	"Darlington County, SC"	"45031"	Suppressed	134499	Suppressed
	"Dillon County, SC"	"45033"	Suppressed	61524	Suppressed
	"Dorchester County, SC"	"45035"	16	310229	Unreliable
	"Edgefield County, SC"	"45037"	Suppressed	53051	Suppressed
	"Fairfield County, SC"	"45039"	Suppressed	45260	Suppressed
	"Florence County, SC"	"45041"	21	277308	7.6
	"Georgetown County, SC"	"45043"	10	123006	Unreliable
	"Greenville County, SC"	"45045"	67	1005603	6.7
	"Greenwood County, SC"	"45047"	12	140488	Unreliable
	"Hampton County, SC"	"45049"	Suppressed	39524	Suppressed
	"Horry County, SC"	"45051"	73	655610	11.1
	"Jasper County, SC"	"45053"	Suppressed	56923	Suppressed
	"Kershaw County, SC"	"45055"	Suppressed	129133	Suppressed
	"Lancaster County, SC"	"45057"	18	182144	Unreliable
	"Laurens County, SC"	"45059"	Suppressed	133625	Suppressed
	"Lee County, SC"	"45061"	Suppressed	34985	Suppressed
	"Lexington County, SC"	"45063"	40	576838	6.9
	"McCormick County, SC"	"45065"	Suppressed	19188	Suppressed
	"Marion County, SC"	"45067"	Suppressed	63019	Suppressed
	"Marlboro County, SC"	"45069"	Suppressed	53770	Suppressed
	"Newberry County, SC"	"45071"	Suppressed	76567	Suppressed
	"Oconee County, SC"	"45073"	11	153625	Unreliable
	"Orangeburg County, SC"	"45075"	Suppressed	175379	Suppressed
	"Pickens County, SC"	"45077"	Suppressed	246342	Suppressed
	"Richland County, SC"	"45079"	56	821141	6.8
	"Saluda County, SC"	"45081"	Suppressed	40649	Suppressed
	"Spartanburg County, SC"	"45083"	48	608317	7.9
	"Sumter County, SC"	"45085"	Suppressed	214243	Suppressed
	"Union County, SC"	"45087"	Suppressed	55210	Suppressed
	"Williamsburg County, SC"	"45089"	Suppressed	63088	Suppressed
	"York County, SC"	"45091"	46	524965	8.8
	"Aurora County, SD"	"46003"	Suppressed	5474	Suppressed
	"Beadle County, SD"	"46005"	Suppressed	36258	Suppressed
	"Bennett County, SD"	"46007"	Suppressed	6914	Suppressed
	"Bon Homme County, SD"	"46009"	Suppressed	13968	Suppressed
	"Brookings County, SD"	"46011"	Suppressed	68390	Suppressed
	"Brown County, SD"	"46013"	Suppressed	78306	Suppressed
	"Brule County, SD"	"46015"	Suppressed	10550	Suppressed
	"Buffalo County, SD"	"46017"	Suppressed	4042	Suppressed
	"Butte County, SD"	"46019"	Suppressed	20312	Suppressed
	"Campbell County, SD"	"46021"	Suppressed	2757	Suppressed
	"Charles Mix County, SD"	"46023"	Suppressed	18824	Suppressed
	"Clark County, SD"	"46025"	Suppressed	7324	Suppressed
	"Clay County, SD"	"46027"	Suppressed	28076	Suppressed
	"Codington County, SD"	"46029"	Suppressed	56162	Suppressed
	"Corson County, SD"	"46031"	Suppressed	8335	Suppressed
	"Custer County, SD"	"46033"	Suppressed	17287	Suppressed
	"Davison County, SD"	"46035"	Suppressed	39607	Suppressed
	"Day County, SD"	"46037"	Suppressed	11092	Suppressed
	"Deuel County, SD"	"46039"	Suppressed	8512	Suppressed
	"Dewey County, SD"	"46041"	Suppressed	11577	Suppressed
	"Douglas County, SD"	"46043"	Suppressed	5863	Suppressed
	"Edmunds County, SD"	"46045"	Suppressed	7871	Suppressed
	"Fall River County, SD"	"46047"	Suppressed	13536	Suppressed
	"Faulk County, SD"	"46049"	Suppressed	4683	Suppressed
	"Grant County, SD"	"46051"	Suppressed	14209	Suppressed
	"Gregory County, SD"	"46053"	Suppressed	8397	Suppressed
	"Haakon County, SD"	"46055"	Suppressed	3835	Suppressed
	"Hamlin County, SD"	"46057"	Suppressed	11976	Suppressed
	"Hand County, SD"	"46059"	Suppressed	6596	Suppressed
	"Hanson County, SD"	"46061"	Suppressed	6797	Suppressed
	"Harding County, SD"	"46063"	Suppressed	2520	Suppressed
	"Hughes County, SD"	"46065"	Suppressed	35266	Suppressed
	"Hutchinson County, SD"	"46067"	Suppressed	14726	Suppressed
	"Hyde County, SD"	"46069"	Suppressed	2670	Suppressed
	"Jackson County, SD"	"46071"	Suppressed	6615	Suppressed
	"Jerauld County, SD"	"46073"	Suppressed	4032	Suppressed
	"Jones County, SD"	"46075"	Suppressed	1863	Suppressed
	"Kingsbury County, SD"	"46077"	Suppressed	9953	Suppressed
	"Lake County, SD"	"46079"	Suppressed	25718	Suppressed
	"Lawrence County, SD"	"46081"	Suppressed	50710	Suppressed
	"Lincoln County, SD"	"46083"	Suppressed	111133	Suppressed
	"Lyman County, SD"	"46085"	Suppressed	7798	Suppressed
	"McCook County, SD"	"46087"	Suppressed	11124	Suppressed
	"McPherson County, SD"	"46089"	Suppressed	4864	Suppressed
	"Marshall County, SD"	"46091"	Suppressed	9605	Suppressed
	"Meade County, SD"	"46093"	Suppressed	55711	Suppressed
	"Mellette County, SD"	"46095"	Suppressed	4190	Suppressed
	"Miner County, SD"	"46097"	Suppressed	4509	Suppressed
	"Minnehaha County, SD"	"46099"	Suppressed	375934	Suppressed
	"Moody County, SD"	"46101"	Suppressed	13084	Suppressed
	"Pennington County, SD"	"46103"	Suppressed	219513	Suppressed
	"Perkins County, SD"	"46105"	Suppressed	5957	Suppressed
	"Potter County, SD"	"46107"	Suppressed	4530	Suppressed
	"Roberts County, SD"	"46109"	Suppressed	20533	Suppressed
	"Sanborn County, SD"	"46111"	Suppressed	4846	Suppressed
	"Shannon County, SD"	"46113"	Suppressed	28769	Suppressed
	"Spink County, SD"	"46115"	Suppressed	12830	Suppressed
	"Stanley County, SD"	"46117"	Suppressed	6004	Suppressed
	"Sully County, SD"	"46119"	Suppressed	2828	Suppressed
	"Todd County, SD"	"46121"	Suppressed	20220	Suppressed
	"Tripp County, SD"	"46123"	Suppressed	10952	Suppressed
	"Turner County, SD"	"46125"	Suppressed	16632	Suppressed
	"Union County, SD"	"46127"	Suppressed	29963	Suppressed
	"Walworth County, SD"	"46129"	Suppressed	11153	Suppressed
	"Yankton County, SD"	"46135"	Suppressed	45278	Suppressed
	"Ziebach County, SD"	"46137"	Suppressed	5557	Suppressed
	"Anderson County, TN"	"47001"	21	152193	13.8
