"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Marion County, SC"	"45067"	16	636370	Unreliable
	"Marlboro County, SC"	"45069"	Suppressed	539149	Suppressed
	"Newberry County, SC"	"45071"	Suppressed	704437	Suppressed
	"Oconee County, SC"	"45073"	49	1369896	3.6
	"Orangeburg County, SC"	"45075"	Suppressed	1733317	Suppressed
	"Pickens County, SC"	"45077"	60	2221212	2.7
	"Richland County, SC"	"45079"	90	7002173	1.3
	"Saluda County, SC"	"45081"	Suppressed	372070	Suppressed
	"Spartanburg County, SC"	"45083"	99	5263316	1.9
	"Sumter County, SC"	"45085"	10	2022942	Unreliable
	"Union County, SC"	"45087"	12	548761	Unreliable
	"Williamsburg County, SC"	"45089"	Suppressed	658120	Suppressed
	"York County, SC"	"45091"	70	4015094	1.7
	"Aurora County, SD"	"46003"	Suppressed	53222	Suppressed
	"Beadle County, SD"	"46005"	Suppressed	327333	Suppressed
	"Bennett County, SD"	"46007"	Suppressed	66020	Suppressed
	"Bon Homme County, SD"	"46009"	Suppressed	134294	Suppressed
	"Brookings County, SD"	"46011"	Suppressed	591303	Suppressed
	"Brown County, SD"	"46013"	Suppressed	695166	Suppressed
	"Brule County, SD"	"46015"	Suppressed	98821	Suppressed
	"Buffalo County, SD"	"46017"	Suppressed	37851	Suppressed
	"Butte County, SD"	"46019"	Suppressed	185317	Suppressed
	"Campbell County, SD"	"46021"	Suppressed	29113	Suppressed
	"Charles Mix County, SD"	"46023"	Suppressed	174822	Suppressed
	"Clark County, SD"	"46025"	Suppressed	72127	Suppressed
	"Clay County, SD"	"46027"	Suppressed	261986	Suppressed
	"Codington County, SD"	"46029"	Suppressed	512833	Suppressed
	"Corson County, SD"	"46031"	Suppressed	78655	Suppressed
	"Custer County, SD"	"46033"	Suppressed	152190	Suppressed
	"Davison County, SD"	"46035"	Suppressed	367875	Suppressed
	"Day County, SD"	"46037"	Suppressed	110119	Suppressed
	"Deuel County, SD"	"46039"	Suppressed	83164	Suppressed
	"Dewey County, SD"	"46041"	Suppressed	107071	Suppressed
	"Douglas County, SD"	"46043"	Suppressed	59594	Suppressed
	"Edmunds County, SD"	"46045"	Suppressed	77902	Suppressed
	"Fall River County, SD"	"46047"	Suppressed	134528	Suppressed
	"Faulk County, SD"	"46049"	Suppressed	46114	Suppressed
	"Grant County, SD"	"46051"	Suppressed	141182	Suppressed
	"Gregory County, SD"	"46053"	Suppressed	83047	Suppressed
	"Haakon County, SD"	"46055"	Suppressed	38031	Suppressed
	"Hamlin County, SD"	"46057"	Suppressed	109568	Suppressed
	"Hand County, SD"	"46059"	Suppressed	65648	Suppressed
	"Hanson County, SD"	"46061"	Suppressed	63804	Suppressed
	"Harding County, SD"	"46063"	Suppressed	24459	Suppressed
	"Hughes County, SD"	"46065"	Suppressed	322263	Suppressed
	"Hutchinson County, SD"	"46067"	Suppressed	142676	Suppressed
	"Hyde County, SD"	"46069"	Suppressed	28257	Suppressed
	"Jackson County, SD"	"46071"	Suppressed	58135	Suppressed
	"Jerauld County, SD"	"46073"	Suppressed	39812	Suppressed
	"Jones County, SD"	"46075"	Suppressed	19641	Suppressed
	"Kingsbury County, SD"	"46077"	Suppressed	100164	Suppressed
	"Lake County, SD"	"46079"	Suppressed	217736	Suppressed
	"Lawrence County, SD"	"46081"	Suppressed	446841	Suppressed
	"Lincoln County, SD"	"46083"	Suppressed	764653	Suppressed
	"Lyman County, SD"	"46085"	Suppressed	72634	Suppressed
	"McCook County, SD"	"46087"	Suppressed	107973	Suppressed
	"McPherson County, SD"	"46089"	Suppressed	49008	Suppressed
	"Marshall County, SD"	"46091"	Suppressed	87890	Suppressed
