"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Highland County, OH"	"39071"	37	172071	21.5
	"Hocking County, OH"	"39073"	Suppressed	114030	Suppressed
	"Holmes County, OH"	"39075"	Suppressed	175700	Suppressed
	"Huron County, OH"	"39077"	38	234116	16.2
	"Jackson County, OH"	"39079"	Suppressed	130298	Suppressed
	"Jefferson County, OH"	"39081"	Suppressed	268104	Suppressed
	"Knox County, OH"	"39083"	20	244303	8.2
	"Lake County, OH"	"39085"	166	917206	18.1
	"Lawrence County, OH"	"39087"	47	243853	19.3
	"Licking County, OH"	"39089"	29	685606	4.2
	"Logan County, OH"	"39091"	32	181383	17.6
	"Lorain County, OH"	"39093"	212	1223652	17.3
	"Lucas County, OH"	"39095"	252	1732350	14.5
	"Madison County, OH"	"39097"	19	175467	Unreliable
	"Mahoning County, OH"	"39099"	152	924908	16.4
	"Marion County, OH"	"39101"	35	261138	13.4
	"Medina County, OH"	"39103"	68	708016	9.6
	"Meigs County, OH"	"39105"	Suppressed	92793	Suppressed
	"Mercer County, OH"	"39107"	Suppressed	163581	Suppressed
	"Miami County, OH"	"39109"	66	417925	15.8
	"Monroe County, OH"	"39111"	Suppressed	57030	Suppressed
	"Montgomery County, OH"	"39113"	836	2128155	39.3
	"Morgan County, OH"	"39115"	Suppressed	59133	Suppressed
	"Morrow County, OH"	"39117"	10	140256	Unreliable
	"Muskingum County, OH"	"39119"	10	344325	Unreliable
	"Noble County, OH"	"39121"	Suppressed	57389	Suppressed
	"Ottawa County, OH"	"39123"	12	163324	Unreliable
	"Paulding County, OH"	"39125"	Suppressed	75675	Suppressed
	"Perry County, OH"	"39127"	Suppressed	143748	Suppressed
	"Pickaway County, OH"	"39129"	Suppressed	229269	Suppressed
	"Pike County, OH"	"39131"	16	112903	Unreliable
	"Portage County, OH"	"39133"	72	648355	11.1
	"Preble County, OH"	"39135"	42	165282	25.4
	"Putnam County, OH"	"39137"	Suppressed	136147	Suppressed
	"Richland County, OH"	"39139"	91	485345	18.7
	"Ross County, OH"	"39141"	61	308642	19.8
	"Sandusky County, OH"	"39143"	27	238383	11.3
	"Scioto County, OH"	"39145"	53	306100	17.3
	"Seneca County, OH"	"39147"	11	221875	Unreliable
	"Shelby County, OH"	"39149"	40	195234	20.5
	"Stark County, OH"	"39151"	191	1497055	12.8
	"Summit County, OH"	"39153"	453	2165439	20.9
	"Trumbull County, OH"	"39155"	192	811131	23.7
	"Tuscarawas County, OH"	"39157"	25	370421	6.7
	"Union County, OH"	"39159"	12	220251	Unreliable
	"Van Wert County, OH"	"39161"	11	113603	Unreliable
	"Vinton County, OH"	"39163"	Suppressed	52295	Suppressed
	"Warren County, OH"	"39165"	136	902073	15.1
	"Washington County, OH"	"39167"	20	243353	8.2
	"Wayne County, OH"	"39169"	42	464108	9.0
	"Williams County, OH"	"39171"	Suppressed	148212	Suppressed
	"Wood County, OH"	"39173"	30	520031	5.8
	"Wyandot County, OH"	"39175"	Suppressed	88743	Suppressed
	"Adair County, OK"	"40001"	Suppressed	88197	Suppressed
	"Alfalfa County, OK"	"40003"	Suppressed	23392	Suppressed
	"Atoka County, OK"	"40005"	Suppressed	55286	Suppressed
	"Beaver County, OK"	"40007"	Suppressed	21610	Suppressed
	"Beckham County, OK"	"40009"	Suppressed	91771	Suppressed
	"Blaine County, OK"	"40011"	Suppressed	38891	Suppressed
	"Bryan County, OK"	"40013"	Suppressed	181262	Suppressed
	"Caddo County, OK"	"40015"	Suppressed	117390	Suppressed
	"Canadian County, OK"	"40017"	Suppressed	539418	Suppressed
	"Carter County, OK"	"40019"	Suppressed	194256	Suppressed
	"Cherokee County, OK"	"40021"	13	194376	Unreliable
	"Choctaw County, OK"	"40023"	Suppressed	59906	Suppressed
	"Cimarron County, OK"	"40025"	Suppressed	8826	Suppressed
	"Cleveland County, OK"	"40027"	21	1102662	1.9
	"Coal County, OK"	"40029"	Suppressed	22751	Suppressed
	"Comanche County, OK"	"40031"	Suppressed	493343	Suppressed
	"Cotton County, OK"	"40033"	Suppressed	23910	Suppressed
	"Craig County, OK"	"40035"	Suppressed	58352	Suppressed
	"Creek County, OK"	"40037"	Suppressed	284540	Suppressed
	"Custer County, OK"	"40039"	Suppressed	117337	Suppressed
	"Delaware County, OK"	"40041"	Suppressed	167105	Suppressed
	"Dewey County, OK"	"40043"	Suppressed	19606	Suppressed
	"Ellis County, OK"	"40045"	Suppressed	16427	Suppressed
	"Garfield County, OK"	"40047"	Suppressed	250844	Suppressed
	"Garvin County, OK"	"40049"	Suppressed	111063	Suppressed
	"Grady County, OK"	"40051"	Suppressed	218100	Suppressed
	"Grant County, OK"	"40053"	Suppressed	17884	Suppressed
	"Greer County, OK"	"40055"	Suppressed	24062	Suppressed
	"Harmon County, OK"	"40057"	Suppressed	10979	Suppressed
	"Harper County, OK"	"40059"	Suppressed	15091	Suppressed
	"Haskell County, OK"	"40061"	Suppressed	51251	Suppressed
	"Hughes County, OK"	"40063"	Suppressed	54409	Suppressed
	"Jackson County, OK"	"40065"	Suppressed	102194	Suppressed
	"Jefferson County, OK"	"40067"	Suppressed	24981	Suppressed
	"Johnston County, OK"	"40069"	Suppressed	44230	Suppressed
	"Kay County, OK"	"40071"	Suppressed	180331	Suppressed
	"Kingfisher County, OK"	"40073"	Suppressed	62423	Suppressed
	"Kiowa County, OK"	"40075"	Suppressed	36450	Suppressed
	"Latimer County, OK"	"40077"	Suppressed	42001	Suppressed
	"Le Flore County, OK"	"40079"	Suppressed	198970	Suppressed
	"Lincoln County, OK"	"40081"	Suppressed	139932	Suppressed
	"Logan County, OK"	"40083"	Suppressed	184644	Suppressed
