,county_code,geometry,county,state,deaths13,deaths14,deaths15,deaths16,deaths17,pop13,pop14,pop15,pop16,pop17,total_deaths,percent_in_distress,prate_13,prate_14,prate_15,prate_16,prate_17,ratio_predicted13,ratio_predicted14,ratio_predicted15,ratio_predicted16,ratio_predicted17,crude_rate13,crude_rate14,crude_rate15,crude_rate16,crude_rate17,crude_rate_lag13,crude_rate_lag14,crude_rate_lag15,crude_rate_lag16,crude_rate_lag17,ratio_pred_rate13,ratio_pred_rate14,ratio_pred_rate15,ratio_pred_rate16,ratio_pred_rate17,ratio_pred_rate_lag13,ratio_pred_rate_lag14,ratio_pred_rate_lag15,ratio_pred_rate_lag16,ratio_pred_rate_lag17
0,1001,"POLYGON ((-86.41178600000001 32.706342, -86.41178600000001 32.410587, -86.49941699999999 32.344863, -86.81707900000001 32.339387, -86.91566400000001 32.662526, -86.41178600000001 32.706342))","Autauga County, AL",AL,,,,,,55246,55395,55347,55416,55504,0.0,0.2628022759601707,166.7,145.3,129.9,129.6,106.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1003,"POLYGON ((-87.76459 31.298768, -87.616713 31.243998, -87.60028200000001 30.997536, -87.518128 30.280057, -88.00557499999999 30.685351, -87.972714 31.161844, -87.945329 31.194706, -87.76459 31.298768))","Baldwin County, AL",AL,,,,,,195540,200111,203709,208563,212628,20.0,0.20979528626046556,154.3,143.5,132.1,123.8,106.7,1.0,2.0,3.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9037399950666428,0.5114043162524291,0.999445307854141,1.4726889828137195,2.8768285841688126,3.762439565814474,0.14924761514458168,0.20109692096897885,0.401785214142705,0.6366140312817301,1.1453121466290108
2,1005,"POLYGON ((-85.354736 32.147694, -85.053504 32.06554, -85.069935 31.994339, -85.141136 31.780739, -85.12470500000001 31.764308, -85.41498300000001 31.621907, -85.69430699999999 31.61643, -85.749076 31.61643, -85.655968 31.879324, -85.40950599999999 32.147694, -85.354736 32.147694))","Barbour County, AL",AL,,,,,,27076,26887,26489,25965,25270,0.0,0.2109692396982008,107.5,102.0,93.3,92.7,90.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1007,"POLYGON ((-87.063542 33.248559, -87.025203 33.248559, -86.882803 33.051389, -87.01972600000001 32.837788, -87.326435 32.876127, -87.419543 32.876127, -87.419543 33.002096, -87.063542 33.248559))","Bibb County, AL",AL,,,,,,22512,22506,22583,22643,22668,0.0,0.2007042253521127,70.5,75.8,69.4,97.2,80.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5801110685696327,0.959062662630527,3.6920943425849457,3.0557521848587728,0.0,0.0,0.0,0.0,0.0,0.47369956982730616,0.9044819596516205,1.4418984739105518,3.934692667686109,3.3765565054513624
4,1009,"POLYGON ((-86.488463 34.261793, -86.455601 34.261793, -86.30224699999999 34.097484, -86.324155 33.938653, -86.576094 33.763391, -86.685633 33.796253, -86.954003 33.812683, -86.964957 33.856499, -86.488463 34.261793))","Blount County, AL",AL,,,,,,57872,57719,57673,57704,58013,13.0,0.13343834383438344,65.9,63.2,57.9,56.9,48.9,1.0,1.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5801110685696327,0.959062662630527,2.4260031143814977,4.708467424159055,1.7279513408902405,1.732531748644294,3.4678272328472595,6.931928462498267,8.618757864616551,0.5809219391418012,1.0943162344720854,1.8270472132992621,4.347769371120885,5.842267127103533
5,1011,"POLYGON ((-85.91886100000001 32.273663, -85.43141300000001 32.235325, -85.40950599999999 32.147694, -85.655968 31.879324, -85.995538 32.049109, -85.91886100000001 32.273663))","Bullock County, AL",AL,,,,,,10639,10764,10696,10362,10309,0.0,0.3790909090909091,41.2,34.3,23.4,19.8,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1013,"POLYGON ((-86.477509 31.966955, -86.450124 31.966955, -86.49941699999999 31.523322, -86.70206399999999 31.523322, -86.90470999999999 31.753354, -86.90470999999999 31.830031, -86.855418 31.961478, -86.477509 31.966955))","Butler County, AL",AL,,,,,,20265,20296,20154,19998,19825,0.0,0.14360189573459717,149.7,145.0,140.5,135.4,118.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1015,"POLYGON ((-85.738122 33.966038, -85.52999800000001 33.94413, -85.798368 33.555267, -86.143416 33.681237, -86.066738 33.840068, -85.738122 33.966038))","Calhoun County, AL",AL,,,,,,116736,115916,115620,114611,114728,0.0,0.21153288901767603,188.9,180.0,165.4,161.0,138.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.919565957860932,0.0,0.0,0.0,0.0,0.0,0.4241635949043945,0.6170461990829432,1.041581460802482,2.3061195080872654,4.280125601394305
8,1017,"POLYGON ((-85.40402899999999 33.106158, -85.234244 33.106158, -85.184951 32.87065, -85.130182 32.74468, -85.184951 32.74468, -85.59572199999999 32.728249, -85.59572199999999 33.106158, -85.40402899999999 33.106158))","Chambers County, AL",AL,,,,,,34162,34076,34123,33843,33713,0.0,0.16183837943803092,169.7,163.1,147.3,140.6,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1019,"POLYGON ((-85.51356699999999 34.524686, -85.464275 34.2837, -85.42046000000001 34.081054, -85.398552 33.966038, -85.52999800000001 33.94413, -85.738122 33.966038, -85.842184 34.201546, -85.51356699999999 34.524686))","Cherokee County, AL",AL,,,,,,26203,26037,25859,25725,25857,0.0,0.18771186440677967,163.8,175.1,169.2,157.7,128.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.085404255614951,0.0,0.0,0.0,0.0,0.0,0.1374538326939439,0.27596979234652974,0.41585863024484365,0.8357151214294071,2.085404255614951
